breakfast,price,lunch,price,dinner,price
Split Decision Breakfast,266,Egg and Avocado Toast,170,Quinoa with Chicken and Lentils,250
Smokehouse Combo,269,Chipotle Bowl,251,Shrimp Pad Thai,230
Two x Two x Two,218,Chicken Caesar Salad,150,Beef Pho,210
Quick 2-Egg Breakfast,218,Big Mac,72,Lemon Caper Chicken,447
Simple and Fit 2-Egg Breakfast,238,Double Cheeseburger,62,Roasted Turkey,447
Sirloin Tips and Eggs,420,Grilled BBQ Chicken Burger,82,Chicken Stir Fry,447
T-Bone Steak and Eggs,420,McChicken,44,Roast Sirloin of Beef,503
Country Fried Steak and Eggs,308,Chicken McNuggets (6pcs),60,Grilled Filet Mignon,615
Chocolate Pancakes and Coffee,89,Chicken McNuggets (10pcs),100,Beef Wellington,783
Omelette and Juice,100,Spicy Chicken Filet Burger,72,,
Cereal and Milk,50,Pork Burger with Cheese Sauce,52,,
,,Filet-O-Fish,44,,
,,Smoked Chicken Long Burger,74,,
,,Ginger Pork Long Burger,74,,
,,BLT Angus Beef Burger,109,,
,,BLT Spicy Chicken Burger,109,,
,,BLT Grilled Chicken Burger,109,,
,,Mushroom Angus Beef Burger,119,,
,,Caesar Salad with Fried Chicken Filet,99,,
,,Italian Salad with Grilled Chicken Filet,99,,
